CARNET;NOMBRES;APELLIDOS;email;master;SECCIONES
199293789;Constance;Ortiz;margarett68@doyle.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13285, 12664, 13579, 13183, 13579, 13579]
199556370;Kaylee;Collier;hegmann.jacquelyn@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13185, 13981, 13185, 12667, 13579, 13981]
199896206;Guillermo;O'Conner;shields.jimmy@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13285, 13185, 13285, 13981, 13579, 13183, 13183]
201062946;Devon;Ruecker;vfritsch@ratkekuphal.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13183, 13579, 12667, 12665, 13183, 13183]
200837886;Deja;Lakin;tbosco@parker.info;MAESTRIA EN ARQUITECTURAS TI;[12667, 12664, 12667, 13285, 12667, 13183, 13579]
200585213;King;Schaden;edward.leuschke@kris.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 12665, 12664, 13579, 13579, 13579, 13981]
200660275;Jocelyn;Thiel;raina.bartell@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 13185, 13981, 13981, 12665, 13183, 13579]
199538296;Ciara;Stehr;legros.hollis@mcdermott.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 12665, 13579, 12664, 12667, 13183, 13579]
199586153;Eladio;Ryan;lenny.toy@mcglynn.biz;MAESTRIA EN ARQUITECTURAS TI;[13981, 12667, 13185, 13579, 13183, 13981, 13579]
201313272;Ruthie;Ullrich;claudine.herman@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 12667, 12667, 13981, 13981, 13981, 13579]
200883480;Easton;Mayert;jewess.leonel@runolfsdottir.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12664, 13579, 12665, 13579, 13981, 13183]
200002943;August;Wisoky;rabernathy@pacocha.biz;MAESTRIA EN ARQUITECTURAS TI;[13579, 13579, 12667, 12664, 13579, 13579, 13981]
199618908;Joana;Yundt;miller.margaret@fahey.com;MAESTRIA EN ARQUITECTURAS TI;[13579, 12664, 13185, 13285, 13183, 13183, 13981]
200290225;Bethany;Rice;ehagenes@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12667, 12667, 13183, 12667, 13579, 13579]
199017541;Newton;Effertz;vbogisich@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13185, 13285, 12667, 12665, 13579, 13579]
200243013;Alexis;Rutherford;carmine20@hotmail.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 12667, 13579, 12664, 13981, 13981, 13981]
199926564;Jade;Buckridge;toney67@stroman.biz;MAESTRIA EN ARQUITECTURAS TI;[13285, 13285, 13183, 12667, 13183, 13579, 13981]
199288127;Johnpaul;Senger;ward.konopelski@mills.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12665, 12665, 13981, 12667, 13183, 13183]
201380719;Caroline;Altenwerth;block.grayson@corwin.biz;MAESTRIA EN ARQUITECTURAS TI;[13183, 13185, 13981, 13183, 12667, 13183, 13981]
199538263;Dena;Ernser;jewess.herminio@mcclure.com;MAESTRIA EN ARQUITECTURAS TI;[12665, 13982, 13285, 12664, 13579, 13579, 13981]
200256258;Brenda;Barrows;osinski.antonetta@spencer.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13183, 13185, 13285, 12665, 13579, 13183]
201115941;Victor;Franecki;abbott.myrtle@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13981, 13185, 12667, 13183, 13183, 13183, 13183]
200795349;Lolita;Leffler;ernser.regan@yahoo.com;MAESTRIA EN ARQUITECTURAS TI;[13183, 12664, 13981, 13183, 12667, 13183, 13981]
200377157;Alberta;Douglas;jedediah.satterfield@simoniscorkery.com;MAESTRIA EN ARQUITECTURAS TI;[12664, 12665, 12667, 13185, 13981, 13183, 13981]
200665046;Heloise;Kling;laura46@frami.biz;MAESTRIA EN ARQUITECTURAS TI;[13185, 12667, 13183, 13579, 13579, 13183, 13981]
199378716;Frankie;Metz;genesis.zemlak@gmail.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12667, 13579, 12667, 12667, 13579, 13183]
199909211;Rachel;Green;vilma93@ebertgoyette.com;MAESTRIA EN ARQUITECTURAS TI;[13982, 13285, 12667, 13185, 13183, 13981, 13183]
199837000;Mackenzie;Deckow;imacejkovic@mohr.com;MAESTRIA EN ARQUITECTURAS TI;[12667, 12667, 12665, 13185, 13185, 13579, 13579]
